swing price,date,min,max
1.5889999999999986,2023-06-21,179.963,181.552
1.8129999999999882,2023-06-22,180.738,182.551
1.6170000000000186,2023-06-26,181.368,182.985
0.9759999999999991,2023-08-17,185.488,186.464
1.2889999999999873,2023-06-27,182.471,183.76
1.4029999999999916,2023-06-28,182.181,183.584
0.6289999999999907,2023-06-30,182.303,182.932
1.6289999999999907,2023-06-30,182.232,183.861
0.6259999999999764,2023-07-03,183.104,183.73
0.6450000000000102,2023-07-04,183.261,183.906
1.2110000000000127,2023-07-05,182.767,183.978
1.475999999999999,2023-07-06,182.524,184.0
2.055000000000007,2023-07-10,181.042,183.097
1.1260000000000048,2023-07-11,180.694,181.82
1.358000000000004,2023-07-12,179.517,180.875
1.5279999999999916,2023-07-13,179.912,181.44
1.5100000000000193,2023-07-14,180.736,182.246
1.5449999999999875,2023-07-17,180.59,182.135
1.4679999999999893,2023-07-18,180.33,181.798
1.3079999999999927,2023-07-19,179.845,181.153
1.1330000000000098,2023-07-21,179.761,180.894
1.9299999999999784,2023-07-21,180.58,182.51
1.3889999999999816,2023-07-24,180.836,182.225
0.8319999999999936,2023-07-25,181.162,181.994
0.9300000000000068,2023-07-26,180.826,181.756
5.47999999999999,2023-07-27,176.424,181.904
4.922999999999973,2023-07-31,177.836,182.759
0.6569999999999823,2023-08-01,182.526,183.183
1.1159999999999854,2023-08-01,182.126,183.242
1.2299999999999898,2023-08-03,181.524,182.754
1.2480000000000189,2023-08-04,180.48,181.728
0.8290000000000077,2023-08-04,180.611,181.44
2.0060000000000002,2023-08-08,180.95,182.956
1.546999999999997,2023-08-09,181.407,182.954
1.2609999999999957,2023-08-10,182.387,183.648
0.921999999999997,2023-08-10,183.324,184.246
0.75,2023-08-11,183.48,184.23
1.5960000000000036,2023-08-15,183.658,185.254
1.0039999999999907,2023-08-16,184.708,185.712
1.88900000000001,2023-08-17,184.572,186.461
0.7890000000000157,2023-08-21,184.672,185.461
1.406000000000006,2023-08-22,185.352,186.758
2.2539999999999907,2023-08-22,183.94,186.194
1.332000000000022,2023-08-24,183.402,184.734
1.2530000000000143,2023-08-24,183.368,184.621
0.7270000000000039,2023-08-29,184.261,184.988
1.2590000000000146,2023-08-30,184.094,185.353
1.1750000000000114,2023-08-30,184.885,186.06
1.2249999999999943,2023-08-31,184.053,185.278
0.893999999999977,2023-09-01,183.568,184.462
